,club name,country,points
0,Al Hilal,"<a class=""sm_logo-name"" href=""/ranking/saudi-arabia/1"" style=""background-image: url(/logos/flags/16/KSA.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Saudi Arabia"">Saudi Arabia</a>","<td class=""rank"">1733</td>"
1,Kawasaki Frontale,"<a class=""sm_logo-name"" href=""/ranking/japan/1"" style=""background-image: url(/logos/flags/16/JPN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Japan"">Japan</a>","<td class=""rank"">1629</td>"
2,Ulsan Hyundai,"<a class=""sm_logo-name"" href=""/ranking/south-korea/1"" style=""background-image: url(/logos/flags/16/KOR.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in South Korea"">South Korea</a>","<td class=""rank"">1620</td>"
3,Jeonbuk FC,"<a class=""sm_logo-name"" href=""/ranking/south-korea/1"" style=""background-image: url(/logos/flags/16/KOR.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in South Korea"">South Korea</a>","<td class=""rank"">1611</td>"
4,Persepolis,"<a class=""sm_logo-name"" href=""/ranking/iran/1"" style=""background-image: url(/logos/flags/16/IRN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Iran"">Iran</a>","<td class=""rank"">1593</td>"
5,Al-Duhail SC,"<a class=""sm_logo-name"" href=""/ranking/qatar/1"" style=""background-image: url(/logos/flags/16/QAT.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Qatar"">Qatar</a>","<td class=""rank"">1588</td>"
6,Al Nassr,"<a class=""sm_logo-name"" href=""/ranking/saudi-arabia/1"" style=""background-image: url(/logos/flags/16/KSA.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Saudi Arabia"">Saudi Arabia</a>","<td class=""rank"">1582</td>"
7,Yokohama F. Marinos,"<a class=""sm_logo-name"" href=""/ranking/japan/1"" style=""background-image: url(/logos/flags/16/JPN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Japan"">Japan</a>","<td class=""rank"">1574</td>"
8,Al-Sadd,"<a class=""sm_logo-name"" href=""/ranking/qatar/1"" style=""background-image: url(/logos/flags/16/QAT.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Qatar"">Qatar</a>","<td class=""rank"">1569</td>"
9,Esteghlal,"<a class=""sm_logo-name"" href=""/ranking/iran/1"" style=""background-image: url(/logos/flags/16/IRN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Iran"">Iran</a>","<td class=""rank"">1568</td>"
10,Buriram United,"<a class=""sm_logo-name"" href=""/ranking/thailand/1"" style=""background-image: url(/logos/flags/16/THA.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Thailand"">Thailand</a>","<td class=""rank"">1556</td>"
11,Al Ittihad,"<a class=""sm_logo-name"" href=""/ranking/saudi-arabia/1"" style=""background-image: url(/logos/flags/16/KSA.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Saudi Arabia"">Saudi Arabia</a>","<td class=""rank"">1553</td>"
12,Sepahan,"<a class=""sm_logo-name"" href=""/ranking/iran/1"" style=""background-image: url(/logos/flags/16/IRN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Iran"">Iran</a>","<td class=""rank"">1543</td>"
13,Shanghai Port F.C.,"<a class=""sm_logo-name"" href=""/ranking/china-pr/1"" style=""background-image: url(/logos/flags/16/CHN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in China PR"">China PR</a>","<td class=""rank"">1529</td>"
14,Al Shabab,"<a class=""sm_logo-name"" href=""/ranking/saudi-arabia/1"" style=""background-image: url(/logos/flags/16/KSA.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Saudi Arabia"">Saudi Arabia</a>","<td class=""rank"">1525</td>"
15,Al-Ain FC,"<a class=""sm_logo-name"" href=""/ranking/united-arab-emirates/1"" style=""background-image: url(/logos/flags/16/UAE.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in United Arab Emirates"">United Arab Emirates</a>","<td class=""rank"">1523</td>"
16,Urawa Red Diamonds,"<a class=""sm_logo-name"" href=""/ranking/japan/1"" style=""background-image: url(/logos/flags/16/JPN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Japan"">Japan</a>","<td class=""rank"">1516</td>"
17,Pakhtakor Tashkent,"<a class=""sm_logo-name"" href=""/ranking/uzbekistan/1"" style=""background-image: url(/logos/flags/16/UZB.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Uzbekistan"">Uzbekistan</a>","<td class=""rank"">1507</td>"
18,Shandong Taishan F.C.,"<a class=""sm_logo-name"" href=""/ranking/china-pr/1"" style=""background-image: url(/logos/flags/16/CHN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in China PR"">China PR</a>","<td class=""rank"">1505</td>"
19,Kashima Antlers,"<a class=""sm_logo-name"" href=""/ranking/japan/1"" style=""background-image: url(/logos/flags/16/JPN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Japan"">Japan</a>","<td class=""rank"">1504</td>"
